rank	id	score	severity_hint	confidence_hint	category	rule	path	line	column	function	async	hot	loop	test	excerpt	message
15	C-4302b7691326659290f5	98	high	high	resource-exhaustion	rust-unbounded-channel	src/identity/workload_api/server.rs	439	47	fetch_x509_bundles	1	0	0	0	let (tx, out_rx) = tokio::sync::mpsc::unbounded_channel();	Unbounded channel permits producer traffic to retain memory without backpressure.
16	C-1014cf848e27a76d3896	98	high	high	resource-exhaustion	rust-unbounded-channel	src/identity/workload_api/server.rs	492	47	fetch_jwt_bundles	1	0	0	0	let (tx, out_rx) = tokio::sync::mpsc::unbounded_channel();	Unbounded channel permits producer traffic to retain memory without backpressure.
17	C-12268c9d51ffa8bc482b	98	high	high	concurrency	rust-blocking-sleep	src/overload.rs	1494	13	measure_event_loop_latency_detects_saturated_workers	1	0	0	0	// `std::thread::sleep(SLEEP_MS)`, so the probe's queue wait is	Blocking sleep can monopolize an executor worker when called from async code.
18	C-2fc910726e70841670ef	98	high	high	concurrency	rust-blocking-sleep	src/plugins/waf/mod.rs	1592	17	scan_budget_timeout_block_action_rejects	1	0	0	0	std::thread::sleep(Duration::from_millis(5));	Blocking sleep can monopolize an executor worker when called from async code.
19	C-10ddf2425c3b5d4b3f27	98	high	high	concurrency	rust-blocking-sleep	src/tls/acme.rs	2673	9	latest_order_for_certificate_selects_newest_record	0	1	0	0	std::thread::sleep(std::time::Duration::from_millis(2));	Blocking sleep can monopolize an executor worker when called from async code.
20	C-a4620fe5c2ac62f523a7	98	high	high	concurrency	rust-blocking-sleep	src/tls/frontend_reload.rs	206	9	reload_task_swaps_on_change_and_keeps_old_on_failure	1	0	0	0	std::thread::sleep(Duration::from_millis(10));	Blocking sleep can monopolize an executor worker when called from async code.
21	C-7dd2e91336f16e5b1164	98	high	high	concurrency	rust-blocking-sleep	src/tls/frontend_reload.rs	225	9	reload_task_swaps_on_change_and_keeps_old_on_failure	1	0	0	0	std::thread::sleep(Duration::from_millis(10));	Blocking sleep can monopolize an executor worker when called from async code.
22	C-411e9a0fe37005c94516	98	high	high	concurrency	rust-blocking-sleep	src/tls/source/subscription.rs	1344	9	reload_task_bumps_only_on_changed_bytes_and_successful_rebuild	1	0	0	0	std::thread::sleep(Duration::from_millis(20));	Blocking sleep can monopolize an executor worker when called from async code.
23	C-22191362178a21565db7	98	high	high	concurrency	rust-blocking-sleep	src/tls/source/subscription.rs	1353	9	reload_task_bumps_only_on_changed_bytes_and_successful_rebuild	1	0	0	0	std::thread::sleep(Duration::from_millis(20));	Blocking sleep can monopolize an executor worker when called from async code.
24	C-4ad19ac6b08aeb163905	98	high	high	resource-exhaustion	rust-unbounded-channel	vendor/h3-0.0.8-ferrum-patched/src/server/builder.rs	131	40	build	1	0	0	0	let (sender, receiver) = mpsc::unbounded_channel();	Unbounded channel permits producer traffic to retain memory without backpressure.
25	C-a04f4b691fd0b840a921	96	high	medium	resource-exhaustion	rust-body-collect	src/admin/api_specs/handlers.rs	3043	22	handle_put_api_spec	1	1	0	0	let body = match collect_body(req, max_mib).await {	Whole-body/materializing collection needs an independently enforced byte cap.
26	C-30a1083cd9c229ce633f	96	high	medium	concurrency	rust-arc-swap-store	src/admin/mod.rs	121	10	cached_db_health_connected	1	1	0	0	cache.store(Arc::new(Some(CachedDbHealthResult {	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
27	C-6f251be90b90efe2e1e4	96	high	medium	concurrency	rust-arc-swap-store	src/admin/mod.rs	5298	10	handle_metrics	1	1	0	0	cache.store(Arc::new(Some((Instant::now(), body_bytes.clone()))));	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
28	C-77ea3dfc28d0463dc0c1	96	high	medium	concurrency	rust-arc-swap-store	src/admin/mod.rs	5360	10	handle_metrics_runtime	1	1	0	0	cache.store(Arc::new(Some((Instant::now(), body_bytes.clone()))));	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
29	C-43dfa0f4cf52c5475086	96	high	medium	resource-exhaustion	rust-body-collect	src/grpc/dp_client.rs	460	18	start_dp_client_with_stream_timings	1	1	0	0	.collect::<Vec<_>>()	Whole-body/materializing collection needs an independently enforced byte cap.
30	C-e9371ad1cf84e376203b	96	high	medium	concurrency	rust-arc-swap-store	src/grpc/dp_client.rs	1461	11	connect_and_subscribe_with_startup_ready_inner	1	1	0	0	cs.store(Arc::new(prev.reconnected(cp_url, is_primary, Utc::now())));	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
31	C-a8b0ff3645934e15184a	96	high	medium	resource-exhaustion	rust-body-collect	src/modes/injector.rs	826	36	handle_injector_request	1	1	0	0	Ok(collected) => collected.to_bytes(),	Whole-body/materializing collection needs an independently enforced byte cap.
32	C-d2ee68272130e569f5f0	96	high	medium	concurrency	rust-std-mutex	src/modes/node_agent.rs	7969	42	handle_fallback_iptables_succeeds	1	1	0	0	let phases = std::sync::Arc::new(std::sync::Mutex::new(Vec::<&'static str>::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
33	C-61533abbef14551effaf	96	high	medium	concurrency	rust-std-mutex	src/modes/node_agent.rs	7972	33	handle_fallback_iptables_succeeds	1	1	0	0	std::sync::Arc::new(std::sync::Mutex::new(Vec::<(&'static str, usize)>::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
34	C-3c69ba5562563144869b	96	high	medium	concurrency	rust-std-mutex	src/modes/node_agent.rs	8045	42	handle_fallback_iptables_setup_failure_is_not_ready	1	1	0	0	let phases = std::sync::Arc::new(std::sync::Mutex::new(Vec::<&'static str>::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
35	C-0159a960202aa4993d45	96	high	medium	concurrency	rust-std-mutex	src/modes/node_agent.rs	8048	33	handle_fallback_iptables_setup_failure_is_not_ready	1	1	0	0	std::sync::Arc::new(std::sync::Mutex::new(Vec::<(&'static str, usize)>::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
36	C-27ebbdb388e78b45cd3c	96	high	medium	concurrency	rust-std-mutex	src/modes/node_agent.rs	8264	42	handle_fallback_iptables_setup_failure_is_fatal	1	1	0	0	let phases = std::sync::Arc::new(std::sync::Mutex::new(Vec::<&'static str>::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
37	C-a7b6ee3ce71a65810fdd	96	high	medium	resource-exhaustion	rust-body-collect	src/plugins/ai_tool_governor.rs	1907	34	govern_request	1	1	0	0	.collect::<Vec<_>>()	Whole-body/materializing collection needs an independently enforced byte cap.
38	C-805352f2994a510c9612	96	high	medium	resource-exhaustion	rust-body-collect	src/plugins/grpc_web.rs	2803	18	after_proxy	1	1	0	0	.collect::<Vec<_>>();	Whole-body/materializing collection needs an independently enforced byte cap.
39	C-34f115cf5cf574577374	96	high	medium	concurrency	rust-arc-swap-store	src/plugins/utils/redis_rate_limiter.rs	995	32	get_or_connect_slot	1	1	0	0	slot.connection.store(Arc::new(Some(manager.clone())));	Blind ArcSwap store can lose concurrent updates when derived from a stale snapshot.
40	C-43c07ad01d8643a5bf17	96	high	medium	resource-exhaustion	rust-body-collect	src/proxy/grpc_proxy.rs	2856	40	collect_grpc_request_body	1	1	0	0	Ok(collected) => collected.to_bytes(),	Whole-body/materializing collection needs an independently enforced byte cap.
41	C-fff61ca630cc36ff9160	96	high	medium	resource-exhaustion	rust-body-collect	src/proxy/grpc_proxy.rs	2885	10	collect_grpc_request_body	1	1	0	0	.to_bytes()	Whole-body/materializing collection needs an independently enforced byte cap.
42	C-617baeb75cfef39629cc	96	high	medium	resource-exhaustion	rust-body-collect	src/proxy/mod.rs	2726	14	buffer_request_body_for_before_proxy	1	1	0	0	.to_bytes()	Whole-body/materializing collection needs an independently enforced byte cap.
43	C-19ab13330429fe540a58	96	high	medium	resource-exhaustion	rust-body-collect	src/proxy/mod.rs	2730	13	buffer_request_body_for_before_proxy	1	1	0	0	body.collect(),	Whole-body/materializing collection needs an independently enforced byte cap.
44	C-5a478b09f4281b7e80fc	96	high	medium	resource-exhaustion	rust-body-collect	src/proxy/mod.rs	2737	14	buffer_request_body_for_before_proxy	1	1	0	0	.to_bytes()	Whole-body/materializing collection needs an independently enforced byte cap.
45	C-bc050f8ed9e0d88b2584	96	high	medium	concurrency	rust-std-mutex	src/proxy/udp_proxy.rs	2209	9	process_new_session_datagram	1	1	0	0	std::sync::Mutex::new(std::collections::HashMap::<String, String>::new());	Blocking mutex/RwLock may stall an async executor or request hot path.
46	C-b9fa69904d81c636e87c	96	high	medium	concurrency	rust-std-mutex	src/proxy/udp_proxy.rs	2920	38	handle_dtls_client	1	1	0	0	let datagram_metadata = Arc::new(std::sync::Mutex::new(std::collections::HashMap::new()));	Blocking mutex/RwLock may stall an async executor or request hot path.
47	C-e74981fd39821ec7e66d	96	high	medium	concurrency	rust-std-mutex	src/proxy/udp_proxy.rs	3077	28	handle_dtls_client_inner	1	1	0	0	datagram_metadata: Arc<std::sync::Mutex<std::collections::HashMap<String, String>>>,	Blocking mutex/RwLock may stall an async executor or request hot path.
48	C-d8cdc51c38fd628692e6	96	high	medium	resource-exhaustion	rust-body-collect	vendor/h3-0.0.8-ferrum-patched/src/frame.rs	449	18	poll_full_request	1	1	0	0	|cx| to_bytes(stream.poll_data(cx)),	Whole-body/materializing collection needs an independently enforced byte cap.
49	C-14a0a589492c57507638	95	high	high	ci-integrity	yaml-continue-on-error	.github/actions/setup-rust-ci/action.yml	128	7	<module>	0	0	1	0	continue-on-error: true	Required CI step can fail without failing the workflow.
50	C-a04f4bb87a7a8a970cdc	95	high	high	ci-integrity	yaml-continue-on-error	.github/actions/setup-sccache/action.yml	32	7	<module>	0	0	1	0	continue-on-error: true	Required CI step can fail without failing the workflow.
51	C-963b630f01c323916906	95	high	high	injection	shell-eval	.github/workflows/ci.yml	1075	19	<module>	0	0	1	0	--eval 'quit(db.runCommand({ ping: 1 }).ok ? 0 : 1)' 2>/dev/null; then	Dynamic shell evaluation can become command injection.
52	C-94275de824b91e696777	95	high	high	injection	shell-eval	.github/workflows/scale-benchmark.yml	157	33	<module>	0	0	1	0	mongosh --quiet --eval 'db.runCommand({ ping: 1 })' >/dev/null 2>&1; then	Dynamic shell evaluation can become command injection.
53	C-8fa3fadb9d0abb3ef5b8	95	high	high	injection	shell-eval	.github/workflows/scaling-regression.yml	101	33	<module>	0	0	1	0	mongosh --quiet --eval 'db.runCommand({ ping: 1 })' >/dev/null 2>&1; then	Dynamic shell evaluation can become command injection.
54	C-386a7853d5178f66d2fb	95	high	high	correctness	rust-panic-macro	build.rs	121	13	main	0	0	1	0	panic!(	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
55	C-4da08895c14b141d1bd5	95	high	high	correctness	rust-panic-macro	src/admin/mod.rs	7895	17	pagination_rejects_malformed_and_overflowing_values	0	0	1	0	"panic!(""malformed/overflowing input must be rejected: {uri}"");"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
56	C-b4a99b340e1d5ce4ec42	95	high	high	correctness	rust-panic-macro	src/capture/mod.rs	3824	36	udp_teardown_script_reaps_udp_state_only	0	0	1	0	".unwrap_or_else(|| panic!(""teardown must probe v4 guard chain {chain}: {script}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
57	C-02d31182cdc77d4ae5ed	95	high	high	correctness	rust-panic-macro	src/capture/mod.rs	3826	17	udp_teardown_script_reaps_udp_state_only	0	0	1	0	panic!(	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
58	C-5a00424798a5786bf5fb	95	high	high	correctness	rust-panic-macro	src/capture/mod.rs	4048	36	udp_setup_flushes_chains_before_adding_rules	0	0	1	0	".unwrap_or_else(|| panic!(""setup missing flush of {chain}: {cmds:?}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
59	C-e51c882e6abba5a87303	95	high	high	correctness	rust-panic-macro	src/capture/mod.rs	4207	36	udp_routing_fails_closed_when_ip_unavailable	0	0	1	0	".unwrap_or_else(|| panic!(""missing `{needle}` command: {cmds:?}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
60	C-26de6b5844386d543813	95	high	high	correctness	rust-panic-macro	src/capture/mod.rs	4218	36	udp_routing_fails_closed_when_ip_unavailable	0	0	1	0	".unwrap_or_else(|| panic!(""missing `{needle}` command: {cmds:?}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
61	C-472086de4cf675019bd8	95	high	high	error-handling	rust-filter-map-ok	src/config/db_loader.rs	5038	14	load_proxies_by_ids	1	0	1	0	".filter_map(|r| r.try_get::<String, _>(""id"").ok())"	filter_map(Result::ok) silently drops malformed or failed entries.
62	C-4cdc6519b8c41bbadcdc	95	high	high	correctness	rust-panic-macro	src/config/env_config.rs	5350	37	cp_loopback_plaintext_is_allowed_for_dev	0	0	1	0	".unwrap_or_else(|e| panic!(""loopback plaintext CP {addr} must be allowed: {e}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
63	C-725fd93ef5e6c75b8070	95	high	high	correctness	rust-panic-macro	src/config/env_config.rs	5416	37	dp_loopback_http_urls_are_allowed_for_dev	0	0	1	0	".unwrap_or_else(|e| panic!(""loopback dev URL {url} must be allowed: {e}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
64	C-0d5fbaecf95452175281	95	high	high	security	rust-dangerous-tls	src/config/env_config.rs	5436	16	dp_grpc_tls_no_verify_is_rejected	0	0	1	0	fn dp_grpc_tls_no_verify_is_rejected() {	TLS verification bypass must be tightly gated and must not leak into production defaults.
65	C-7d76641d97a439ae5078	95	high	high	security	rust-dangerous-tls	src/config/env_config.rs	5440	21	dp_grpc_tls_no_verify_is_rejected	0	0	1	0	dp_grpc_tls_no_verify: true,	TLS verification bypass must be tightly gated and must not leak into production defaults.
66	C-faf854c3235fc43ca238	95	high	high	security	rust-dangerous-tls	src/config/env_config.rs	5445	41	dp_grpc_tls_no_verify_is_rejected	0	0	1	0	".expect_err(""FERRUM_DP_GRPC_TLS_NO_VERIFY=true must be rejected"");"	TLS verification bypass must be tightly gated and must not leak into production defaults.
67	C-1051c5f1ae2ee2be15ec	95	high	high	security	rust-dangerous-tls	src/config/env_config.rs	5446	46	dp_grpc_tls_no_verify_is_rejected	0	0	1	0	"assert!(err.contains(""FERRUM_DP_GRPC_TLS_NO_VERIFY""));"	TLS verification bypass must be tightly gated and must not leak into production defaults.
68	C-d2db09c19283e828d6c4	95	high	high	resource-exhaustion	rust-read-to-end	src/config/types.rs	6124	24	load_validated_country_mmdb_inner	0	0	1	0	bounded_reader.read_to_end(&mut bytes).map_err(|e| {	Read-to-end can allocate until EOF unless a hard byte limit is enforced upstream.
69	C-48c073bb71511a7295f0	95	high	high	error-handling	rust-filter-map-ok	src/config_sources/k8s/core.rs	206	14	finalize	0	0	1	0	.filter_map(|spiffe| SpiffeId::new(spiffe).ok())	filter_map(Result::ok) silently drops malformed or failed entries.
70	C-7066c08fe2b03a4db01f	95	high	high	security	rust-unwrap-or-true	src/config_sources/k8s/core.rs	1151	33	endpoint_is_ready	0	0	1	0	.unwrap_or_else(|| ready.unwrap_or(true));	Defaulting a failed/missing decision to true can fail open.
71	C-35ccbf86e914b4ca2ba7	95	high	high	security	rust-unwrap-or-true	src/config_sources/k8s/core.rs	1152	10	endpoint_is_ready	0	0	1	0	ready.unwrap_or(true) && serving	Defaulting a failed/missing decision to true can fail open.
72	C-f21f12246f0b7463e497	95	high	high	memory-safety	rust-unchecked-operation	src/config_sources/k8s/core.rs	2209	36	peak_rss_bytes	0	0	1	0	let usage = unsafe { usage.assume_init() };	Unchecked memory/string operation can violate Rust safety invariants if inputs drift.
73	C-b55ec90e3163cbc248a0	95	high	high	security	rust-dangerous-tls	src/config_sources/k8s/istio.rs	1851	9	translate_client_tls_settings	0	0	1	0	let insecure_skip_verify = value	TLS verification bypass must be tightly gated and must not leak into production defaults.
74	C-3d68f5e3391323c8b69e	95	high	high	security	rust-dangerous-tls	src/config_sources/k8s/istio.rs	1894	9	translate_client_tls_settings	0	0	1	0	insecure_skip_verify,	TLS verification bypass must be tightly gated and must not leak into production defaults.
75	C-ab27e894d0dbaa877db8	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	6364	33	workload_entry_locality_is_free_form	0	0	1	0	".unwrap_or_else(|e| panic!(""locality {raw:?} must translate: {e}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
76	C-745b2341d0a9a557f316	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	11145	36	virtual_service_multi_operator_authority_still_fails_closed	0	0	1	0	".unwrap_or_else(|| panic!(""{case}: /api proxy""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
77	C-c13e09d1bff4dd0e0338	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	11190	36	virtual_service_invalid_authority_values_fail_closed_before_plugin_load	0	0	1	0	".unwrap_or_else(|| panic!(""{case}: /api proxy""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
78	C-fb3efc0ddf4700e15545	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	14045	26	proxy_config_concurrency_invalid_json_forms_are_rejected	0	1	1	0	"other => panic!(""case {label}: expected InvalidResource, got {other:?}""),"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
79	C-7054238caf73e388f886	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	15036	36	vs_destination_port_name_rejects_partial_cluster_suffix	0	0	1	0	".unwrap_or_else(|| panic!(""host '{host}' must be rejected""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
80	C-db79463712c2094c2e8d	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	15089	37	vs_destination_port_name_accepts_trailing_dot_on_short_forms	0	1	1	0	".unwrap_or_else(|e| panic!(""trailing-dot host '{host}' must resolve: {e}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
81	C-9ede3eaddd2373ffe560	95	high	high	correctness	rust-panic-macro	src/config_sources/k8s/istio.rs	15110	37	vs_destination_port_name_resolves_custom_cluster_domain	0	0	1	0	".unwrap_or_else(|e| panic!(""custom domain host '{host}' must resolve: {e}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
82	C-5fad4abe79cdc8720778	95	high	high	security	rust-dangerous-tls	src/dtls/mod.rs	163	65	build_backend_dtls_config	0	0	1	0	let skip_verify = !proxy.resolved_tls.verify_server_cert || tls_no_verify;	TLS verification bypass must be tightly gated and must not leak into production defaults.
83	C-2c20bbdaf8d8a02df82c	95	high	high	correctness	rust-panic-macro	src/dtls/mod.rs	1903	9	client_hello_packet	0	0	1	0	"panic!(""client did not emit a ClientHello packet"");"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
84	C-9cce023559fdad90a3e8	95	high	high	correctness	rust-panic-macro	src/dtls/mod.rs	2068	22	dtls_backend_handshake_honors_connect_timeout_ms	1	1	1	0	"Ok(_) => panic!(""handshake against black hole should fail""),"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
85	C-0efd79aaa3dccfe62aa1	95	high	high	security	rust-unwrap-or-true	src/ebpf/cgroup.rs	91	64	discover_pod_cgroup_paths	0	0	1	0	let descend = entry.file_type().map(|t| t.is_dir()).unwrap_or(true);	Defaulting a failed/missing decision to true can fail open.
86	C-cf71cc90b67e5433ecf1	95	high	high	security	rust-unwrap-or-true	src/ebpf/cgroup.rs	168	68	collect_cgroup_tree_inodes	0	0	1	0	let descend = entry.file_type().map(|t| t.is_dir()).unwrap_or(true);	Defaulting a failed/missing decision to true can fail open.
87	C-654c6799d7437e134e63	95	high	high	memory-safety	rust-unchecked-operation	src/ebpf/event_consumer.rs	798	32	from_record_bytes_decodes_full_record	0	1	1	0	unsafe { std::mem::transmute(record) };	Unchecked memory/string operation can violate Rust safety invariants if inputs drift.
88	C-8f917beb5256400155df	95	high	high	correctness	rust-panic-macro	src/ebpf/loader.rs	883	27	connect4_redirects_a_real_captured_connection_to_the_capture_port	0	1	1	0	"Err(e) => panic!(""capture-port server accept failed: {e}""),"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
89	C-842bd45da2ef3e456da6	95	high	high	error-handling	rust-filter-map-ok	src/ebpf/veth.rs	91	49	discover_veth_from_cgroup	0	0	1	0	for pid in procs.split_whitespace().filter_map(|raw| raw.parse().ok()) {	filter_map(Result::ok) silently drops malformed or failed entries.
90	C-624fb9a7c51025ccbe3e	95	high	high	security	rust-unwrap-or-true	src/ebpf/veth.rs	102	64	discover_veth_from_cgroup	0	0	1	0	let descend = entry.file_type().map(|t| t.is_dir()).unwrap_or(true);	Defaulting a failed/missing decision to true can fail open.
91	C-24b821120f1b958bdaa6	95	high	high	error-handling	rust-filter-map-ok	src/health_check.rs	1551	14	build_grpc_probe_channel_no_verify	1	0	1	0	.filter_map(|r| r.ok())	filter_map(Result::ok) silently drops malformed or failed entries.
92	C-089b3dc9a6b1112faf81	95	high	high	security	rust-dangerous-tls	src/health_check.rs	1595	76	build_health_check_client	0	0	1	0	"warn!(""health_check: TLS certificate verification DISABLED (FERRUM_TLS_NO_VERIFY=true)"");"	TLS verification bypass must be tightly gated and must not leak into production defaults.
93	C-10477118e335b3c21671	95	high	high	correctness	rust-panic-macro	src/http3/client.rs	3898	17	pool_manager_reports_closed_connection_unhealthy	1	1	1	0	panic!(	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
94	C-ee123cd3b5e8a55264a4	95	high	high	correctness	rust-panic-macro	src/http3/client.rs	3995	17	closed_connection_is_evicted_from_pool	1	1	1	0	panic!(	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
95	C-2f813073d689922941f6	95	high	high	correctness	rust-panic-macro	src/http3/websocket.rs	1916	9	drop	0	0	1	0	"panic!(""dropping AbortOnDropJoinHandle should abort and drop the task future"");"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
96	C-d1113d7ec5cf60caa99b	95	high	high	correctness	rust-panic-macro	src/http3/websocket.rs	1949	9	drop	0	0	1	0	"panic!(""send pump wait timeout should abort and drop the task future"");"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
97	C-cb7041dc27ed0e81a307	95	high	high	correctness	rust-panic-macro	src/k8s_controller/istio_status.rs	3400	36	api_resource_maps_all_translated_istio_kinds	0	0	1	0	".unwrap_or_else(|| panic!(""expected ApiResource for {kind}""));"	Production panic/todo/unimplemented path can crash or make an advertised branch unusable.
98	C-fec2819e28563931d8b7	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3119	66	preferred_locality_bitset	0	0	1	0	&& self.local_locality_mask.get(idx).copied().unwrap_or(true)	Defaulting a failed/missing decision to true can fail open.
99	C-b59b5f122ceb97445aa2	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3239	79	preferred_locality_candidates	0	0	1	0	.filter(|(idx, _)| self.local_locality_mask.get(*idx).copied().unwrap_or(true))	Defaulting a failed/missing decision to true can fail open.
100	C-058bc88dcc29dd42c27d	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3376	62	strict_local_bitset	0	0	1	0	&& self.local_locality_mask.get(idx).copied().unwrap_or(true)	Defaulting a failed/missing decision to true can fail open.
101	C-db03f2ce2c22b27cd240	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3388	81	strict_local_bitset	0	0	1	0	if scope.contains(idx) && self.local_locality_mask.get(idx).copied().unwrap_or(true) {	Defaulting a failed/missing decision to true can fail open.
102	C-3e88f524ae5736ea4866	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3412	75	strict_local_candidates	0	0	1	0	.filter(|(idx, _)| self.local_locality_mask.get(*idx).copied().unwrap_or(true))	Defaulting a failed/missing decision to true can fail open.
103	C-206213fd56367078426a	95	high	high	security	rust-unwrap-or-true	src/load_balancer.rs	3422	70	strict_local_candidates	0	0	1	0	.filter(|idx| self.local_locality_mask.get(*idx).copied().unwrap_or(true))	Defaulting a failed/missing decision to true can fail open.
